                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.46141,                0.27778,                 1.0019,                0.96223,                0.95582,                0.98275,                0.81825,                0.59208,                0.28101,                0.68082,               0.008317,               0.008317,               0.008317
                     36,                0.45788,                0.27587,                0.99773,                0.97145,                0.95129,                0.98059,                0.81634,                0.58704,                0.26097,                0.68174,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.4588,                0.27501,                0.99755,                0.97158,                0.94699,                0.97886,                0.81417,                0.59079,                0.27944,                0.67508,               0.008218,               0.008218,               0.008218
                     38,                0.45375,                0.26755,                0.99897,                0.97115,                0.94842,                0.97817,                0.81578,                0.58431,                0.26286,                0.68063,              0.0081685,              0.0081685,              0.0081685
                     39,                0.44992,                0.26942,                0.99823,                0.97656,                0.94126,                0.98231,                0.81858,                0.57988,                 0.2588,                0.67771,               0.008119,               0.008119,               0.008119
                     40,                0.45621,                0.27221,                 1.0018,                0.98124,                0.94413,                0.97923,                0.81831,                0.57455,                0.26059,                0.68799,              0.0080695,              0.0080695,              0.0080695
                     41,                0.46218,                0.27571,                 1.0009,                 0.9773,                 0.9384,                0.98272,                0.81633,                0.58536,                0.27309,                0.69225,                0.00802,                0.00802,                0.00802
                     42,                0.44841,                0.26955,                0.99353,                0.97031,                0.95272,                0.98115,                0.81246,                0.58532,                0.26544,                0.67688,              0.0079705,              0.0079705,              0.0079705
                     43,                0.44059,                0.26515,                0.99767,                0.95027,                0.95989,                0.97948,                0.81496,                0.59927,                0.33155,                0.70106,               0.007921,               0.007921,               0.007921
                     44,                0.44643,                0.26361,                 1.0017,                0.95437,                0.96459,                 0.9787,                0.81437,                0.58646,                 0.2753,                0.69235,              0.0078715,              0.0078715,              0.0078715
                     45,                0.44398,                0.26212,                0.99254,                0.96508,                0.95559,                0.98229,                0.81669,                0.58354,                0.26398,                 0.6742,               0.007822,               0.007822,               0.007822
                     46,                0.45745,                0.26919,                0.99798,                0.95802,                0.96132,                0.98217,                0.81804,                 0.5945,                0.27901,                0.69391,              0.0077725,              0.0077725,              0.0077725
                     47,                0.44527,                0.26335,                0.99329,                0.95632,                0.97135,                0.98233,                0.82015,                0.57757,                0.27948,                0.68856,               0.007723,               0.007723,               0.007723
                     48,                0.44977,                0.26827,                0.98845,                0.96301,                0.95702,                0.98345,                0.82283,                0.59121,                0.27759,                0.68177,              0.0076735,              0.0076735,              0.0076735
                     49,                 0.4456,                0.25999,                0.98442,                0.95974,                0.96991,                0.98121,                0.81758,                0.60686,                0.26696,                0.70729,               0.007624,               0.007624,               0.007624
                     50,                0.43729,                0.25864,                0.98187,                0.96421,                0.95559,                 0.9844,                0.82026,                0.61172,                 0.2842,                0.70466,              0.0075745,              0.0075745,              0.0075745
                     51,                0.43779,                0.25537,                0.98524,                0.96348,                0.96991,                0.97971,                0.81639,                0.58766,                0.26975,                0.69137,               0.007525,               0.007525,               0.007525
                     52,                0.43995,                0.25471,                0.98574,                0.97331,                0.94651,                0.98303,                0.82255,                0.57608,                0.25808,                 0.6721,              0.0074755,              0.0074755,              0.0074755
                     53,                0.43929,                0.25423,                 0.9833,                0.96322,                0.95702,                0.98292,                0.82234,                0.56772,                0.25474,                0.67583,               0.007426,               0.007426,               0.007426
                     54,                0.43592,                 0.2527,                0.98876,                 0.9725,                0.94269,                0.97968,                0.81924,                 0.5634,                0.25659,                0.67029,              0.0073765,              0.0073765,              0.0073765
                     55,                0.42306,                0.24868,                0.98018,                0.97749,                0.94413,                0.98482,                0.81869,                0.59616,                0.26563,                0.69495,               0.007327,               0.007327,               0.007327
                     56,                0.42906,                0.24595,                0.98318,                0.97358,                0.95085,                0.98463,                0.82399,                0.55525,                0.22939,                0.65816,              0.0072775,              0.0072775,              0.0072775
                     57,                0.43379,                 0.2481,                0.98096,                0.96129,                0.96275,                0.98371,                0.82314,                0.54876,                0.22911,                0.64976,               0.007228,               0.007228,               0.007228
                     58,                0.43241,                0.24458,                0.97907,                0.96628,                0.96755,                0.98636,                0.82577,                0.55944,                0.23373,                0.65757,              0.0071785,              0.0071785,              0.0071785
                     59,                0.42293,                0.24461,                 0.9774,                0.97191,                0.94986,                0.98386,                0.82508,                0.55956,                 0.2395,                 0.6573,               0.007129,               0.007129,               0.007129
                     60,                0.43066,                0.24329,                0.98434,                0.96975,                0.95415,                0.98214,                0.81958,                0.56113,                 0.2379,                0.67028,              0.0070795,              0.0070795,              0.0070795
                     61,                0.43582,                0.24817,                 0.9859,                0.96303,                0.96132,                0.98341,                0.82169,                0.57025,                0.24571,                0.66518,                0.00703,                0.00703,                0.00703
                     62,                0.41892,                0.24094,                0.97798,                0.96546,                0.96542,                0.98086,                0.82056,                0.55945,                0.23944,                0.66185,              0.0069805,              0.0069805,              0.0069805
                     63,                0.42182,                0.24112,                0.98316,                0.95378,                0.97259,                0.98084,                0.81733,                0.56115,                0.23294,                0.66157,               0.006931,               0.006931,               0.006931
                     64,                 0.4184,                0.23682,                0.98184,                0.97248,                0.95021,                0.98344,                0.82067,                 0.5632,                 0.2282,                 0.6665,              0.0068815,              0.0068815,              0.0068815
                     65,                0.42375,                0.23872,                0.97767,                0.97838,                0.95392,                0.98201,                0.81998,                0.56691,                 0.2218,                0.65104,               0.006832,               0.006832,               0.006832
                     66,                0.42115,                0.23971,                0.98258,                0.96483,                0.96562,                0.98571,                0.82173,                0.56271,                0.23514,                 0.6651,              0.0067825,              0.0067825,              0.0067825
                     67,                0.41222,                0.23415,                0.97892,                0.96697,                0.97478,                0.98507,                0.82286,                0.57078,                 0.2433,                0.66719,               0.006733,               0.006733,               0.006733
                     68,                 0.4142,                0.23445,                0.97548,                0.97715,                0.95702,                0.98365,                 0.8197,                0.56727,                0.23036,                0.66451,              0.0066835,              0.0066835,              0.0066835
                     69,                0.42188,                0.23892,                0.97345,                0.96557,                0.96418,                0.98483,                 0.8192,                0.57022,                0.22615,                0.65746,               0.006634,               0.006634,               0.006634
                     70,                  0.422,                0.24024,                0.97301,                0.98212,                0.94986,                0.98256,                 0.8197,                0.58706,                0.26345,                0.68799,              0.0065845,              0.0065845,              0.0065845
                     71,                0.42627,                0.23923,                0.97578,                0.97029,                0.96385,                0.98644,                0.82499,                0.57737,                0.24971,                 0.6846,               0.006535,               0.006535,               0.006535
                     72,                0.41595,                0.23706,                 0.9701,                0.95757,                0.97421,                0.98413,                0.82094,                0.58312,                0.25322,                0.68352,              0.0064855,              0.0064855,              0.0064855
                     73,                0.41204,                0.23323,                0.97478,                0.95184,                0.97498,                0.98261,                0.82191,                0.57628,                0.25128,                0.67307,               0.006436,               0.006436,               0.006436
